epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5319,1.32019,1.60996,1.12251,0.90924,0.75897,0.85619,0.59762,1.12009,1.07827,1.09104,0.000662813,0.000662813,0.000662813
2,42.8463,1.12398,0.94743,1.0462,0.81982,0.80513,0.81453,0.54917,1.05001,0.98262,1.04533,0.00126367,0.00126367,0.00126367
3,61.6702,1.11002,0.8844,1.03511,0.89313,0.78974,0.87973,0.59138,1.11751,1.04389,1.05212,0.00179853,0.00179853,0.00179853
4,79.6687,1.08588,0.83913,1.02475,0.94731,0.83077,0.92142,0.67884,0.97077,0.69856,1.00561,0.001703,0.001703,0.001703
5,98.2447,1.06279,0.80772,1.01392,0.93792,0.89744,0.91539,0.65896,1.01435,0.66395,1.02724,0.001604,0.001604,0.001604
6,117.181,1.01179,0.75959,0.99824,0.94607,0.87179,0.92827,0.69638,0.98435,0.65386,1.01002,0.001505,0.001505,0.001505
7,135.351,1.00882,0.74301,0.99991,0.92886,0.87692,0.91987,0.71849,0.91969,0.63225,0.98519,0.001406,0.001406,0.001406
8,153.087,0.97302,0.71288,0.99041,0.9611,0.8869,0.91157,0.6934,0.87748,0.59665,0.97706,0.001307,0.001307,0.001307
9,169.917,0.94258,0.68191,0.97499,0.95879,0.89744,0.93377,0.73421,0.84928,0.58496,0.94335,0.001208,0.001208,0.001208
10,186.714,0.91549,0.65415,0.96964,0.92779,0.85659,0.9138,0.71021,0.88111,0.60933,0.97387,0.001109,0.001109,0.001109
11,228.581,0.84093,0.60656,0.94699,0.96639,0.88469,0.92865,0.71978,0.8987,0.5859,0.9693,0.00101,0.00101,0.00101
12,250.535,0.81508,0.58657,0.93054,0.93449,0.87786,0.93204,0.7256,0.87001,0.57271,0.94061,0.000911,0.000911,0.000911
13,269.355,0.79116,0.55479,0.9156,0.9448,0.90256,0.93276,0.72259,0.84974,0.55875,0.94869,0.000812,0.000812,0.000812
14,288.795,0.77501,0.5356,0.9109,0.91962,0.91795,0.93819,0.73463,0.8328,0.54375,0.94196,0.000713,0.000713,0.000713
15,308.24,0.74328,0.51001,0.90308,0.96187,0.9056,0.94047,0.73696,0.81653,0.51683,0.93479,0.000614,0.000614,0.000614
16,326.596,0.73637,0.49134,0.90236,0.97206,0.89213,0.9336,0.73709,0.82283,0.50117,0.94347,0.000515,0.000515,0.000515
17,344.543,0.71484,0.47543,0.88668,0.97221,0.89688,0.93619,0.73371,0.81714,0.49939,0.94285,0.000416,0.000416,0.000416
18,363.008,0.69719,0.46075,0.88789,0.97232,0.90256,0.93839,0.75081,0.78799,0.47116,0.92944,0.000317,0.000317,0.000317
19,381.14,0.68468,0.44993,0.87897,0.96721,0.90765,0.94084,0.7508,0.79568,0.47448,0.93446,0.000218,0.000218,0.000218
20,399.106,0.66066,0.43212,0.87173,0.97392,0.89744,0.94397,0.75828,0.77749,0.45487,0.93556,0.000119,0.000119,0.000119
